"","sourceOccurrenceId","sourceTaxonId","sourceTaxonName","sourceTaxonOrder","sourceTaxonFamily","sourceTaxonGenus","sourceBodyPartId","sourceBodyPartName","sourceLifeStageId","sourceLifeStageName","interactionTypeId","interactionTypeName","targetOccurrenceId","targetTaxonId","targetTaxonName","targetTaxonOrder","targetTaxonFamily","targetTaxonGenus","targetBodyPartId","targetBodyPartName","targetLifeStageId","targetLifeStageName","localityId","localityName","decimalLatitude","decimalLongitude","observationDateTime","referenceDoi","referenceUrl","referenceCitation"
"1","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Abrothrix longipilis","RODENTIA","CRICETIDAE","Abrothrix","","","","","","","","","","","","Medina RA, Torres-Perez F, Galeno H, Navarrete M, Vial PA, Palma RE, et al. (2009). Ecology, Genetic Diversity, and Phylogeographic Structure of Andes Virus in Humans and Rodents in Chile. Journal of virology 83:2446-2459."
"2","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Abrothrix olivaceus","RODENTIA","CRICETIDAE","Abrothrix","","","","","","","","","","","","Sosa-Estani S, Martinez VP, Delta Valle MG, Edelstein A, Miguel S, Padula PJ, et al. (2002). Hantavirus in human and rodent populations in an endemic area for hantavirus pulmonary syndrome in Argentina. Medicina-Buenos Aires 62:1-8."
"3","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Abrothrix sanborni","RODENTIA","CRICETIDAE","Abrothrix","","","","","","","","","","","","Padula P, Figueroa R, Navarrete M, Pizarro E, Cadiz R, Bellomo C, et al. (2004). Transmission Study of Andes Hantavirus Infection in Wild Sigmodontine Rodents Ê. Society 78:11972-11979."
"4","","","African horse sickness virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Alexander KA, Kat PW, House J, House C, O'Brien SJ, Laurenson MK, et al. (1995). African horse sickness and African carnivores. Veterinary Microbiology 47:133-140."
"5","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Alexander KA, MacLachlan NJ, Kat PW, House C, O'Brien SJ, Lerche NW, et al. (1994). Evidence of natural bluetongue virus infection among African carnivores. The American Journal of Tropical Medicine and Hygiene 51:568-576."
"6","","","Feline astrovirus","Unassigned","Astroviridae","Mamastrovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Atkins A, Wellehan JFX, Childress AL, Archer LL, Fraser Wa, and Citino SB (2009). Characterization of an outbreak of astroviral diarrhea in a group of cheetahs (Acinonyx jubatus). Veterinary Microbiology 136:160-165."
"7","","","Feline calicivirus","Unassigned","Caliciviridae","Vesivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Munson L, Marker L, Dubovi E, Spencer JA, Evermann JF, and O'Brien SJ (2004). Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus). Journal of wildlife diseases 40:23-31."
"8","","","Feline coronavirus","Nidovirales","Coronaviridae","Coronavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Hofmann-Lehmann R, Fehr D, Grob M, Elgizoli M, Packer C, Martenson JS, et al. (1996). Prevalence of antibodies to feline parvovirus, calicivirus, herpesvirus, coronavirus, and immunodeficiency virus and of feline leukemia virus antigen and the interrelationship of these viral infections in free-ranging lions in east Africa. Clinical and diagnostic laboratory immunology 3:554-562."
"9","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","","","","","","","","","","","","Thalwitzer S, Wachter B, Robert N, Wibbelt G, MÙller T, Lonzer J, et al. (2010). Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland. Clinical and Vaccine Immunology 17:232-238."
"10","","","Akabane virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Davies FG, and Jessett DM (1985). A study of the host range and distribution of antibody to Akabane virus (genus bunyavirus, family Bunyaviridae) in Kenya. The Journal of Hygiene 95:191-196."
"11","","","Alcelaphine herpesvirus 2","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Reid HW, Plowright W, and LW Rowe (1975). Neutralising antibody to herpesviruses derived from wildebeest and hartebeest in wild animals in East Africa. Research in Veterinary Science 18(3): 269-273."
"12","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Karesh WB, Rothstein A, Green W, Reuter HO, Emmett W, Torres A, et al. (1997). Health Evaluation of Black-Faced Impala ( Aepyceros melampus petersi ) Using Blood Chemistry and Serology Published by : American Association of Zoo Veterinarians Your use of the JSTOR archive indicates your acceptance of JSTOR ' s Terms and Conditions of. Journal of Zoo and Wildlife Medicine 28:361-367."
"13","","","Bovine viral diarrhea virus 1","Unassigned","Flaviviridae","Pestivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Hamblin C, and Hedger RS (1979). The prevalence of antibodies to bovine viral diarrhoea/mucosal disease virus in African wildlife. Comparative Immunology, Microbiology and Infectious Diseases 2:295-303."
"14","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Shepherd AJ, Swanepoel R, Shepherd SP, McGillivray GM, and Searle LA (1987). Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa. The American Journal of Tropical Medicine and Hygiene 36:133-142."
"15","","","Foot-and-mouth disease virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Hamblin C, Anderson EC, Jago M, Mlengeya T, and Hirji K (1990). Antibodies of Some Pathogenic Agents in Free-Living Wild Species in Tanzania. Epidemiology and infection 105:585-594."
"16","","","Lumpy skin disease virus","Unassigned","Poxviridae","Capripoxvirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Hedger RS, and Hamblin C (1983). Neutralizing antibodies to Lumpy skin disease virus in African Wildlife. Comparative Immunology Microbiology and Infectious Diseases 6:209-213."
"17","","","Rift Valley fever virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","",NA
