Species,cytb_size,GenbankAccession
Abrothrix_longipilis,1140,EU579470.1
Abrothrix_olivaceus,1140,AY275111.1
Abrothrix_sanborni,NA,NA
Acinonyx_jubatus,1140,AF344830.1
Aepyceros_melampus,1143,AF036289
Aethomys_kaiseri,1140,AJ604519.1
Aethomys_namaquensis,1140,AF141215.1 
Akodon_azarae,1140,AY702964
Akodon_montensis,1140,EU251018.1
Akodon_paranaensis,NA,NA
Akodon_simulator,1140,EU260481.1
Akodon_varius,1140,EU260479.1
Alcelaphus_buselaphus,801,AF028822
Alces_alces,1140,AY035873
Allenopithecus_nigroviridis,NA,NA
Alopex_lagopus,1140,AY598511.1
Alouatta_caraya,1140,AY374378
Alouatta_palliata,800,AY065881.1
Alouatta_pigra,307,DQ875685.1
Alouatta_seniculus,1140,AJ489759.1
Ammospermophilus_nelsoni,NA,NA
Ammotragus_lervia,1143,AF034731.1
Anoura_caudifer,402,L19506.1
Anoura_geoffroyi,1140,FJ155495.1
Antidorcas_marsupialis,1140,AF036281
Antilocapra_americana,1143,AF091629
Antilope_cervicapra,1140,AF022058
Antrozous_pallidus,402,AY706887.1
Aotus_azarae,1140,DQ098866
Aotus_trivirgatus,1140,HQ005499.1
Apodemus_agrarius,1140,AY389012
Apodemus_argenteus,1140,AB164578.1
Apodemus_flavicollis,1140,JF819970.1
Apodemus_flavicollis ,1140,JF819969.1
Apodemus_mystacinus,1144,AF159394.1 
Apodemus_peninsulae,1140,AY389003.1
Apodemus_speciosus,1140,AB164494.1
Apodemus_sylvaticus,1140,JF819981.1
Apodemus_uralensis,1140,AY389021.1
Arctocephalus_australis,1140,AY377329.1
Ariteus_flavescens,1140,AY604436
Artibeus_cinereus,1140,EU805599.1
Artibeus_fimbriatus,1140,DQ869391.1
Artibeus_jamaicensis,1140,U66504
Artibeus_lituratus,1140,U66505
Artibeus_phaeotis,1140,U66514
Artibeus_planirostris,1140,GQ861700.1
Artibeus_toltecus,1140,U66515
Arvicanthis_neumanni,1140,EU349737.1
Arvicanthis_niloticus,1140,AF004572
Arvicola_amphibius,1140,AF159400.1
Arvicola_scherman,1140,JX457750.1
Atelerix_albiventris,NA,NA
Ateles_geoffroyi,1140,HM222708
Ateles_paniscus,NA,NA
Atilax_paludinosus,1140,AF522325
Axis_axis,1140,AY607040
Babyrousa_babyrussa,1140,AY534302
Baiomys_taylori,1140,AY275108.1
Balaenoptera_acutorostrata,1140,X75753
Balaenoptera_borealis,1140,X75582.1
Balaenoptera_physalus,458,EU303338.1
Bandicota_bengalensis,1140,AM408336.1
Bandicota_indica,1135,HM217425.1
Bandicota_savilei,1128,HM217427.1
Barbastella_barbastellus,609,EU743798.1
Bassaricyon_gabbii,1140,DQ660300.1
Bibimys_chacoensis,NA,NA
Bison_bison,1140,AF036273
Bison_bonasus,1140,AY689186.1
Blastocerus_dichotomus,1140,AY607038.1
Bos_gaurus,2280,GU324988
Bos_javanicus,1140,AY689188
Bos_mutus,1140,AY955225.1
Bos_taurus,360,AY682380
Boselaphus_tragocamelus,1143,AJ222679.1
Bradypus_tridactylus,471,HM352897.1
Bradypus_variegatus,648,AF232013
Bubalus_arnee,1140,JQ241282.1
Bubalus_bubalis,1140,EU807964
Cabassous_centralis,NA,NA
Callithrix_geoffroyi,1140,HM368005.1
Callithrix_jacchus,1140,AY434079
Calomys_callosus,1143,DQ447282
Calomys_laucha,1143,AY033189
Calomys_musculinus,1325,DQ029211
Calomys_tener,1143,DQ447301.1
Caluromys_derbianus,1200,JF489138.1
Caluromys_philander,801,GU112876.1
Camelus_bactrianus,1140,U06427
Camelus_dromedarius,1140,U06426
Canis_adustus,385,AF028136
Canis_aureus,1140,AY291433.1
Canis_familiaris,1140,EU352854
Canis_latrans,196,EF373828
Canis_lupus,1140,HM222711
Canis_mesomelas,396,AF028142
Canis_simensis,1121,HQ845262.1
Capra_aegagrus,1140,DQ514542.1
Capra_hircus,937,GU120393
Capra_ibex,1143,AF034735
Capra_pyrenaica,987,EU081041.1
Capreolus_capreolus,1140,Y14951.1
Capricornis_crispus,1140,U17865.1
Caracal_caracal,NA,NA
Carollia_brevicauda,1140,FJ154120.1
Carollia_perspicillata,1140,AF511990
Carollia_subrufa,1140,AF187024.1
Castor_fiber,1140,DQ088708.1 
Cavia_porcellus,1140,DQ017047
Cebus_apella,1140,FJ529104
Cebus_capucinus,977,FJ529110.1
Cephalophus_callipygus,1140,AF153886.1
Cephalophus_dorsalis,1140,AF153884.1
Cephalophus_leucogaster,1143,AJ222684.1
Cephalophus_nigrifrons,1140,AF153896.1
Cephalophus_weynsi,1140,AF153902.1
Ceratotherium_simum,832,FJ619039
Cercocebus_agilis,NA,NA
Cercocebus_atys,NA,NA
Cercocebus_chrysogaster,NA,NA
Cercocebus_galeritus,NA,NA
Cercocebus_torquatus,267,AY204834.1
Cercopithecus_ascanius,NA,NA
Cercopithecus_campbelli,NA,NA
Cercopithecus_cephus,NA,NA
Cercopithecus_diana,NA,NA
Cercopithecus_erythrotis,NA,NA
Cercopithecus_lhoesti,NA,NA
Cercopithecus_mitis,NA,NA
Cercopithecus_mona,267,AY204832.1
Cercopithecus_neglectus,NA,NA
Cercopithecus_nictitans,267,AY204831.1
Cercopithecus_petaurista,NA,NA
Cercopithecus_pogonias,NA,NA
Cercopithecus_solatus,NA,NA
Cerdocyon_thous,NA,NA
Cervus_elaphus,1140,EU878391
Cervus_nippon,1140,EF139156
Cervus_timorensis,1140,AF423200.1 
Chaetodipus_hispidus,1140,AF172832
Chaetodipus_spinatus,1140,AY926398
Chaetophractus_vellerosus,NA,NA
Chionomys_roberti,1140,GQ352459.1
Chironectes_minimus,828,AJ628363.1
Chlorocebus_aethiops,1165,AB495299
Chlorocebus_pygerythrus,267,DQ451242.1
Chlorocebus_sabaeus,267,DQ451215.1
Choeropsis_liberiensis,1140,Y08814.1
Choloepus_didactylus,648,AF232012
Choloepus_hoffmanni,NA,NA
Chrotopterus_auritus,1140,FJ155481.1
Chrysocyon_brachyurus,394,AF028139.1
Coendou_prehensilis,1132,AF411581.1
Coendou_rothschildi,NA,NA
Colobus_guereza,1140,U38264.1
Colobus_polykomos,424,AF020411.1
Connochaetes_gnou,1140,AF016637
Connochaetes_taurinus,1140,AF034969
Corynorhinus_townsendii,NA,NA
Cricetomys_emini,1143,AF160612.1 
Cricetomys_gambianus,1143,AF160614.1
Cricetus_cricetus,1140,AY275109.1
Crocidura_leucodon,1077,EF417545
Crocidura_russula,904,AY918389.1
Crocuta_crocuta,1140,AF511064
Cuniculus_paca,NA,NA
Cynictis_penicillata,1140,AF511060
Cynomops_abrasus,460,GQ424038.1
Cynomops_planirostris,NA,NA
Cynomys_ludovicianus,1140,AF157890.1
Cynopterus_brachyotis,1140,GQ410210
Cynopterus_sphinx,1075,FJ489992
Cystophora_cristata,1140,AY140981.1
Dama_dama,1140,X56290
Damaliscus_lunatus,1140,AF016635.1
Damaliscus_pygargus,1140,AF016639
Dasymys_incomtus,1140,AF141217.1
Dasyprocta_leporina,1140,AF437791.1
Dasyprocta_punctata,NA,NA
Dasypus_novemcinctus,1104,AF493839
Delphinus_delphis,1140,EF093031.1
Desmodillus_auricularis,1140,AJ851272.1
Desmodus_rotundus,1140,FJ155477.1
Diaemus_youngi,1140,FJ155475
Diceros_bicornis,1140,EU107377
Diclidurus_albus,1140,EF584163.1
Didelphis_marsupialis,1149,U34665
Didelphis_virginiana,1149,HM222715
Diphylla_ecaudata,1140, FJ155476.1
Diplomys_labilis,NA,NA
Dipodomys_heermanni,1140,AY926369
Dipodomys_merriami,1140,GU175438.1
Dipodomys_nitratoides,1140,AY926372
Dobsonia_anderseni,NA,NA
Dobsonia_moluccensis,1140,FJ218484.1
Dorcopsis_muelleri,NA,NA
Eidolon_dupreanum,NA,NA
Eidolon_helvum,1193,AB355794.1
Elephas_maximus,1137,AB002412.1
Eonycteris_spelaea,1140,FJ218482
Epomophorus_gambianus,1140,JF728756.1
Epomophorus_labiatus,NA,NA
Epomophorus_wahlbergi,1140,DQ445706.1
Epomops_dobsonii,NA,NA
Epomops_franqueti,1140,DQ445707
Eptesicus_brasiliensis,NA,NA
Eptesicus_diminutus,1122,AF376833.1
Eptesicus_furinalis,755,EU786865.1
Eptesicus_fuscus,1140,AF376835
Eptesicus_serotinus,1140,GQ272586
Equus_asinus,857,EU257216
Equus_caballus,1213,AY515162
Equus_hemionus,143,GQ324585
Equus_quagga,1140,JF718888.1
Erethizon_dorsatum,1140,FJ357428
